Yexp,T
92.41765629120336,1.0
-3.870134139551989,0.0
-8.248050595246793,1.0
-29.27932599350513,0.0
2.1271901981883077,1.0
-93.7745019106295,0.0
-21.86711910293903,1.0
-51.09110906647261,1.0
34.38040589500604,1.0
-53.48492930678797,1.0
46.09906341047268,0.0
-48.14178733439814,0.0
23.386802884800034,0.0
26.13403094527842,0.0
-51.27368552603537,0.0
-20.310078739905453,0.0
21.58289234327154,0.0
-41.26623739422157,1.0
9.702703505957,0.0
65.72289596500536,1.0
15.525257305602766,0.0
40.04992448310364,1.0
-59.280896525331165,1.0
29.735893003275837,1.0
-14.232949902837795,0.0
-78.21395425701681,1.0
93.12349159131116,0.0
-54.615004247998606,0.0
65.58234476584371,0.0
37.58485688554632,1.0
83.72339909542906,1.0
-18.041708513413475,0.0
45.122392312107834,0.0
-61.25306556892218,1.0
-33.73896750548525,1.0
-9.730080047603414,0.0
127.66244857904567,1.0
15.670707464833152,0.0
-8.78393855451201,0.0
-19.481438889565094,1.0
40.383876298456265,0.0
21.636944580824323,1.0
84.17519093033751,0.0
45.620076976679506,0.0
-0.28794586276124656,0.0
-16.411364101867186,0.0
100.97282524134837,1.0
22.467931036150354,0.0
74.13738742574759,1.0
-15.512389158800788,1.0
-36.32753340467315,0.0
6.27957211605726,1.0
66.77346925643158,0.0
-29.584047382616063,0.0
6.897460823547555,1.0
32.50350579645058,1.0
-19.34011755133497,0.0
-28.777964830888287,1.0
56.441010117671446,1.0
11.3342144559492,1.0
5.726917549525361,1.0
53.794432741338674,0.0
-3.3393961716405562,1.0
-53.80659699116811,1.0
-40.361225685386906,1.0
21.601073694809177,1.0
-25.635523980272946,1.0
62.27860978166616,0.0
-3.5985972484186997,1.0
-51.44283352557481,1.0
47.96517116386744,0.0
-72.75657424815952,0.0
-24.471935746315566,1.0
-64.22097160633682,0.0
43.14275338875294,1.0
4.102086092806118,0.0
50.46587385106498,0.0
-19.972627019021793,0.0
-117.39674664319247,0.0
-109.67879711755687,0.0
68.46736717988529,0.0
35.36176369094678,0.0
11.07447657538877,0.0
-36.69231044180494,0.0
-39.857707029112795,0.0
-38.66196250062209,1.0
16.970838663171126,1.0
105.35988646051881,1.0
-43.463588045065976,1.0
13.688201358496602,0.0
80.15105855185485,0.0
37.39047894415949,1.0
-63.22750041005983,1.0
-16.598330621145426,1.0
40.40397015209408,0.0
8.73579578529909,1.0
44.62548258186842,1.0
-35.77943739429204,1.0
4.524372432892756,0.0
30.57201128592295,1.0
