Yexp,T
-42.568708625199505,1.0
-54.76651155225109,1.0
119.97858495717713,1.0
-10.028119380746965,0.0
34.613287326081675,1.0
-35.228787057815,0.0
16.438102724925407,0.0
134.50261539368788,1.0
-52.72024429890156,1.0
8.883957903059981,0.0
-32.414160594342434,1.0
3.397896185325794,1.0
-51.349298418508226,0.0
-18.271367460553847,1.0
-71.4581749259307,1.0
-36.30672672311307,0.0
0.18702787623560146,0.0
0.3004038391260627,0.0
67.65941608734373,1.0
5.63222180109687,1.0
93.06561420367596,1.0
-94.66246054928126,0.0
-2.410031208415259,1.0
-22.46541722814005,1.0
-7.589921223572991,0.0
41.34168287053053,0.0
32.81349710669041,1.0
27.97107456106652,1.0
7.929109541047246,0.0
-20.659239537844513,0.0
-54.05812410290103,1.0
-31.24990142670561,1.0
158.54927195491683,1.0
-70.40669802684423,0.0
9.362968938657039,1.0
69.21115459225733,1.0
1.1375505364208602,0.0
-5.799778420635898,1.0
49.44331327923877,0.0
2.574995845499226,0.0
2.4375856446393813,1.0
-43.349670480067395,1.0
-30.38278830791735,1.0
-40.670617962777456,0.0
-7.638840518574448,1.0
-11.190134275027095,0.0
21.57687875436715,1.0
40.53534681013457,0.0
55.581681696614744,1.0
90.50340675178468,1.0
-39.079926268027876,0.0
-11.138133176137686,1.0
-15.555361525475366,1.0
-13.062928737006544,0.0
-22.3145676274997,1.0
-16.607850497741413,1.0
-45.29073402712886,0.0
87.26581151109919,0.0
51.342949887892885,1.0
-10.106460871893033,0.0
137.82004048194543,1.0
-1.233607548377771,1.0
-76.7595388599737,0.0
-8.004944047490874,0.0
-62.84629114943437,0.0
-7.6282714540959375,1.0
-35.299557966809274,0.0
52.073827576103746,1.0
-64.11687979857456,1.0
47.77738755629214,1.0
15.40449737421169,0.0
-47.61015071406373,0.0
33.48115816769662,1.0
27.975699922822173,0.0
1.3573848189369078,0.0
1.84737674400543,1.0
-69.86230597148322,1.0
6.967244412416626,0.0
91.66929900540757,0.0
45.46989210080185,1.0
20.971593175166923,1.0
109.10278371864405,1.0
14.473376571974509,1.0
22.18957991430519,0.0
1.9439367261879923,1.0
-44.985392895151975,0.0
-27.45383788665703,1.0
-26.260244628358823,0.0
-3.9943727564138927,1.0
5.539220822085969,0.0
-51.02542908984656,0.0
-70.81308500374689,0.0
-30.596520648047008,1.0
39.49527745459336,0.0
-62.43924345735877,0.0
41.16901713165821,0.0
25.631215529632684,1.0
-25.89016800441111,0.0
-25.64983607599686,0.0
25.38091201011409,0.0
-36.93216564037133,0.0
-10.924296610964515,1.0
43.193115713383015,0.0
15.453851792439737,0.0
16.635338545770335,1.0
43.42809888552624,0.0
-102.50208632474006,1.0
25.28369578037731,0.0
-7.87117211316282,1.0
55.062279351353475,0.0
-92.34124126253924,0.0
-4.319471541608105,1.0
-8.149183177935923,1.0
90.50849508525027,1.0
-34.69596537310917,0.0
70.3383385136191,1.0
55.10576378507032,0.0
-58.79851875949475,0.0
18.724618502987617,1.0
19.808299209790498,1.0
30.825048765867123,1.0
13.492104318120212,1.0
-3.774959337791249,1.0
34.07892058798939,0.0
-18.471809366892764,0.0
-11.933545594790658,0.0
-82.0774904415315,0.0
3.388114271234514,0.0
-20.619988752587442,1.0
86.91416419246343,0.0
-54.27202906647102,0.0
-68.85286911070021,1.0
19.179243975924305,1.0
-26.752381536810518,0.0
10.277341903577831,0.0
-108.71257060355413,1.0
-102.05337334003605,1.0
50.68611650110452,1.0
-1.9507396710101939,0.0
42.07781179655115,1.0
6.607172524550523,1.0
10.058908479269508,0.0
26.115134776412717,1.0
